Epoch,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,0.6928104758262634,0.614703357219696,0.6416938304901123,0.6476923823356628
2,0.6928104758262634,0.6023154854774475,0.6416938304901123,0.6470457315444946
3,0.6928104758262634,0.5959370732307434,0.638436496257782,0.6466102004051208
4,0.6993464231491089,0.5905835628509521,0.638436496257782,0.6485974192619324
5,0.6993464231491089,0.5865538120269775,0.638436496257782,0.6494158506393433
6,0.6993464231491089,0.582226037979126,0.638436496257782,0.6496143341064453
7,0.6993464231491089,0.5800337791442871,0.638436496257782,0.6505687832832336
8,0.6993464231491089,0.5767805576324463,0.638436496257782,0.649636447429657
9,0.6993464231491089,0.5750783085823059,0.6351791620254517,0.6494078040122986
10,0.6993464231491089,0.5724825263023376,0.6351791620254517,0.6489126682281494
11,0.6993464231491089,0.5712618231773376,0.6351791620254517,0.6493127346038818
12,0.6993464231491089,0.5689653754234314,0.6351791620254517,0.648761510848999
13,0.6928104758262634,0.567138671875,0.6351791620254517,0.6493943333625793
14,0.6993464231491089,0.5655405521392822,0.6351791620254517,0.6491215229034424
15,0.6993464231491089,0.5643247365951538,0.6319218277931213,0.6484076976776123
16,0.6993464231491089,0.5621824860572815,0.6319218277931213,0.6480970978736877
17,0.6993464231491089,0.5612220764160156,0.6319218277931213,0.6479882597923279
18,0.6993464231491089,0.5599768757820129,0.6319218277931213,0.6474048495292664
19,0.6993464231491089,0.5596186518669128,0.628664493560791,0.6477977633476257
20,0.6993464231491089,0.5585178136825562,0.6319218277931213,0.6478837728500366
21,0.6993464231491089,0.5578957200050354,0.6319218277931213,0.6485839486122131
22,0.6993464231491089,0.5568552017211914,0.6319218277931213,0.6484246253967285
23,0.6928104758262634,0.5563533306121826,0.6319218277931213,0.6484581828117371
24,0.6928104758262634,0.5550388693809509,0.6319218277931213,0.6483654379844666
25,0.6993464231491089,0.5560061931610107,0.6319218277931213,0.6492404341697693
26,0.6993464231491089,0.5543439388275146,0.6319218277931213,0.6493526101112366
27,0.6928104758262634,0.5537347197532654,0.6319218277931213,0.6499353647232056
28,0.6928104758262634,0.5541856288909912,0.6351791620254517,0.6498919725418091
29,0.686274528503418,0.553641140460968,0.6351791620254517,0.650422215461731
30,0.686274528503418,0.553520679473877,0.6319218277931213,0.6510307788848877
31,0.686274528503418,0.5532822608947754,0.6319218277931213,0.6512594819068909
32,0.6928104758262634,0.5523446202278137,0.6351791620254517,0.6509550213813782
33,0.686274528503418,0.5520220994949341,0.638436496257782,0.6504031419754028
34,0.686274528503418,0.5520753860473633,0.638436496257782,0.6508668065071106
35,0.686274528503418,0.5519999861717224,0.6416938304901123,0.650849461555481
36,0.686274528503418,0.5516133308410645,0.638436496257782,0.6510984897613525
37,0.686274528503418,0.5514491200447083,0.638436496257782,0.6508808732032776
38,0.6797385811805725,0.5513638854026794,0.6416938304901123,0.6510836482048035
39,0.686274528503418,0.5509447455406189,0.6449511647224426,0.6509454846382141
40,0.686274528503418,0.550432026386261,0.6449511647224426,0.651088297367096
41,0.6797385811805725,0.5505860447883606,0.638436496257782,0.6514587998390198
42,0.6797385811805725,0.5505154132843018,0.638436496257782,0.6515425443649292
43,0.6797385811805725,0.5505352020263672,0.6416938304901123,0.6519203782081604
44,0.6797385811805725,0.5498762130737305,0.638436496257782,0.6519848704338074
45,0.6797385811805725,0.5500242710113525,0.638436496257782,0.6523425579071045
46,0.6797385811805725,0.5498808026313782,0.6416938304901123,0.6525275707244873
47,0.6797385811805725,0.5497297048568726,0.638436496257782,0.6528356075286865
48,0.6797385811805725,0.5495527386665344,0.638436496257782,0.6532621383666992
49,0.6797385811805725,0.549424409866333,0.638436496257782,0.6530341506004333
50,0.6797385811805725,0.5490821599960327,0.638436496257782,0.6527824997901917
